Principio de PAP,Categoría,Subcategoría,Descripción,Ejemplos/Detalles,Recursos en Colombia (Ministerio de Salud y OPS)
Escuchar,Estrategias de Escucha,Escucha Activa,Técnicas de escucha activa para que la persona se sienta comprendida y apoyada,"Mantener contacto visual, responder con frases de afirmación",Capacitación en PAP de la Cruz Roja Colombiana
Escuchar,Evaluación Inicial,Evaluar Nivel de Crisis,"Pautas para identificar signos de riesgo alto (expresiones de desesperanza, comentarios suicidas)",Preguntas abiertas sobre cómo se siente la persona,Línea Nacional de Crisis y Emergencias (123)
Escuchar,Validación Emocional,Validación de Sentimientos,Cómo ayudar a la persona a reconocer sus emociones sin juzgarlas,"Decir ""es normal sentirse así en momentos difíciles""","Línea de Atención 106, enfocada en adolescentes y jóvenes"
Conectar,Redes de Apoyo,Contacto con Familiares/Amigos,Ayudar a la persona a identificar personas de confianza con quienes pueda hablar,"""¿Hay alguien en quien confíes a quien podamos llamar?""",Línea 192 de apoyo psicológico en situaciones de emergencia
Conectar,Recursos de Apoyo,Información sobre Servicios de Salud,Informar sobre centros de atención y líneas de ayuda disponibles en su localidad,Brindar contactos de instituciones locales,Hospital Mental de Antioquia y otros centros especializados
Conectar,Apoyo Comunitario,Grupos de Apoyo,Información sobre grupos o asociaciones de apoyo comunitario para acompañamiento en salud mental,"Grupos de apoyo en iglesias, centros comunitarios",Directorio de grupos de apoyo del Ministerio de Salud
Calmar,Estrategias de Regulación,Técnicas de Respiración,Técnicas para reducir la ansiedad y restablecer el control emocional a través de la respiración,"Respiración diafragmática, inhalar por 4 segundos, exhalar por 6","Recursos virtuales (apps de bienestar como ""Respira Colombia"")"
Calmar,Control del Pensamiento,Reducción de Pensamientos Negativos,Técnicas para reemplazar pensamientos negativos con positivos,"Técnica de la ""caja de pensamiento"": analizar cada pensamiento",Recursos de Salud Mental en línea Porque quiero estar bien
Calmar,Estrategias de Relajación,Ejercicios de Relajación Muscular,Técnicas para reducir tensión física y emocional a través de la relajación muscular,Tensión y relajación progresiva de grupos musculares,Material descargable del Ministerio de Salud
Proteger,Seguridad Personal,Evaluación de Riesgo,Estrategias para identificar y reducir riesgos físicos y emocionales en el momento de la intervención,Preguntar si tiene pensamientos suicidas o autolesiones,Línea Nacional de Emergencia 123 y Línea de Prevención del Suicidio
Proteger,Recursos para Situaciones Críticas,Protocolos de Emergencia,Acciones en caso de que la persona esté en riesgo inmediato,"Contactar emergencias, no dejar sola a la persona",123 Emergencias; Línea Nacional de Prevención del Suicidio
Proteger,Planificación de Seguridad,Plan de Seguridad,Ayuda para crear un plan sencillo que aumente la seguridad hasta que se pueda recibir atención formal,"Identificar lugares seguros, contactos de emergencia","Aplicación ""Mi Seguridad"", que permite acceso rápido a contactos"
Escuchar,Estrategias de Escucha,Escucha Activa,"Técnicas para escuchar sin juzgar, mostrando empatía y disposición a entender la situación del afectado.","Mantener contacto visual, asentir, parafrasear para validar comprensión",Línea de atención 192 y Línea de Vida Nacional 018000113113 - atención en salud mental
Escuchar,Evaluación Inicial,Evaluación de Nivel de Crisis,"Pautas para detectar signos de alerta o crisis grave que requieran intervención urgente (desesperanza, comentarios suicidas).",“¿Puedes contarme cómo te sientes ahora mismo?”,Manual de Evaluación en Crisis - OPS y Ministerio de Salud
Escuchar,Validación Emocional,Validación de Sentimientos,Ayudar a la persona a aceptar sus emociones como una respuesta humana natural a la situación.,“Es normal sentirte de esta manera en una situación como esta.”,Guías de Salud Mental en Crisis - Ministerio de Salud y OPS
Conectar,Redes de Apoyo,Contacto con Familiares/Amigos,Ayudar a la persona a identificar figuras de apoyo que le proporcionen tranquilidad y comprensión.,“¿Hay alguien en quien confíes con quien puedas hablar ahora?”,Programa Colombia Cuida a Colombia - soporte comunitario y familiar
Conectar,Recursos de Apoyo,Información sobre Servicios de Salud Mental,Explicar los recursos disponibles y cómo pueden ayudarle a recibir apoyo profesional.,Brindar información sobre centros de salud mental en la localidad,"Hospital Mental de Antioquia, Línea Púrpura (Bogotá) - 018000112137"
Conectar,Apoyo Comunitario,Grupos de Apoyo Comunitario,Información sobre grupos o asociaciones de apoyo en la comunidad que ofrezcan acompañamiento emocional.,“Existen grupos en la comunidad donde puedes compartir tus experiencias.”,Directorio de grupos de apoyo y redes de salud mental - Ministerio de Salud
Calmar,Estrategias de Regulación,Técnicas de Respiración,Ejercicios de respiración y mindfulness para reducir ansiedad y recuperar el control emocional.,"Inhalar profundamente por 4 segundos, exhalar lentamente por 6 segundos",OPS y Ministerio de Salud - Apps de bienestar como Respira Colombia
Calmar,Control del Pensamiento,Reducción de Pensamientos Negativos,Técnicas cognitivas para reemplazar pensamientos negativos por otros positivos y realistas.,Técnica de “parada de pensamiento” y reformulación positiva.,OPS - Material de Autocuidado en Salud Mental
Calmar,Estrategias de Relajación,Relajación Muscular Progresiva,Ejercicios de tensión y relajación para reducir la tensión física asociada al estrés y la ansiedad.,"Tensar y relajar grupos musculares, comenzando por los pies hasta la cabeza",Recursos descargables del Ministerio de Salud de Colombia
Proteger,Seguridad Personal,Evaluación de Riesgo,"Estrategias para evaluar el riesgo de suicidio o autolesiones, considerando factores como el historial y las señales actuales.",Preguntar si tiene pensamientos suicidas o autolesivos con tono empático,Línea Nacional de Prevención del Suicidio - 123
Proteger,Recursos para Situaciones Críticas,Protocolos de Emergencia,"Pautas para acciones inmediatas en casos de riesgo inminente, incluyendo no dejar sola a la persona.",Acompañamiento físico o comunicación constante hasta que llegue la ayuda,123 Emergencias y Línea de Vida Nacional 018000113113
Proteger,Planificación de Seguridad,Plan de Seguridad,Ayuda para crear un plan de seguridad personalizado que proteja a la persona hasta que reciba atención formal.,“¿Qué lugares o personas te hacen sentir seguro? Hagamos una lista.”,"Aplicación ""Mi Seguridad"" para contactos de emergencia rápidos"
Escuchar,Estrategias de Escucha,Escucha Activa,Muestra empatía y disposición a entender al usuario. Evita respuestas automatizadas rígidas.,"""Estoy aquí para escucharte. ¿Quieres contarme cómo te sientes ahora mismo?""",Línea de Vida Nacional (018000113113) y Línea de Emergencias 123
Escuchar,Evaluación Inicial,Detección de Nivel de Crisis,Identifica el nivel de riesgo con preguntas abiertas y personalizadas.,"""Comprendo que estás pasando por un momento difícil. ¿Sientes que necesitas ayuda urgente en este momento?""",Línea Nacional de Prevención del Suicidio en Colombia
Escuchar,Validación Emocional,Validación de Sentimientos,Refuerza la legitimidad de las emociones del usuario sin juzgar ni minimizar.,"""Es completamente válido sentir lo que sientes. A veces, hablar sobre ello puede ayudar.""",Recursos en crisis de la OPS y Ministerio de Salud
Conectar,Redes de Apoyo,Contacto con Familiares/Amigos,Anima al usuario a contactar personas de confianza que puedan brindarle apoyo.,"""Es posible que hablar con alguien de confianza también te ayude. ¿Hay alguien cercano con quien te gustaría compartir cómo te sientes?""",Programa Colombia Cuida a Colombia - apoyo comunitario
Conectar,Recursos de Apoyo,Servicios de Salud Mental,Proporciona información sobre servicios de salud mental y líneas de ayuda disponibles en el país.,"""Puedo ofrecerte información sobre centros de atención en tu área si lo deseas. ¿Te gustaría recibir esa información?""",Hospital Mental de Antioquia y Línea Púrpura (Bogotá) (018000112137)
Conectar,Apoyo Comunitario,Grupos de Apoyo Comunitario,Sugerencia de grupos de apoyo donde pueda sentirse acompañado y entendido.,"""Algunas personas encuentran útil conectarse con grupos que han pasado por experiencias similares. ¿Te gustaría recibir información sobre ellos?""",Red de Salud Mental del Ministerio de Salud
Calmar,Estrategias de Regulación,Técnicas de Respiración,Ofrece técnicas de respiración o mindfulness para aliviar la ansiedad.,"""Respira conmigo: inhala profundamente por 4 segundos y exhala lentamente por 6 segundos. Esto puede ayudarte a calmarte un poco.""",Aplicaciones como Respira Colombia
Calmar,Control del Pensamiento,Reducción de Pensamientos Negativos,Propone ejercicios para alejar pensamientos negativos.,"""A veces, los pensamientos negativos pueden sentirse abrumadores. ¿Te gustaría que hablemos de estrategias para reducirlos, como centrarte en un pensamiento positivo?""",Recursos de OPS para Autocuidado en Salud Mental
Calmar,Estrategias de Relajación,Relajación Muscular Progresiva,Sugiere ejercicios de relajación para reducir tensión física y emocional.,"""¿Podemos hacer un ejercicio? Intenta tensar los músculos de tus pies por unos segundos y luego relájalos, repite con diferentes partes del cuerpo.""",Material descargable del Ministerio de Salud de Colombia
Proteger,Seguridad Personal,Evaluación de Riesgo,Detecta señales de riesgo alto y sugiere contactar con ayuda profesional o de emergencia.,"""Si tienes pensamientos de hacerte daño, no estás solo. Considera comunicarte con una línea de ayuda especializada o contactar a alguien de confianza. ¿Te gustaría ayuda con esto?""",Línea Nacional de Prevención del Suicidio - 123
Proteger,Recursos para Situaciones Críticas,Protocolos de Emergencia,Ofrece pautas de acción inmediata y sugiere no dejar a la persona sola si el riesgo es alto.,"""Si sientes que estás en peligro inminente, no dudes en llamar al 123 o comunicarte con alguien cercano de inmediato. ¿Te gustaría que te ayude a contactar a alguien?""",123 Emergencias y Línea de Vida Nacional
Proteger,Planificación de Seguridad,Plan de Seguridad,Ayuda a crear un plan de seguridad en caso de que surjan pensamientos suicidas nuevamente.,"""Hagamos un plan juntos: identifica tres personas a quienes puedas contactar y tres lugares donde puedas sentirte seguro. Esto puede ayudarte a sentirte más protegido.""","Página Web ""Por qué quiero estar bien"" para contactos de emergencia rápidos"
